name,team,year,age,height,weight,rating,completions,yds_per_comp,yds_lost_by_sack,ints,net_yds_per_att,games_played,longest_pass,adj_net_yds_per_att,td_percentage,completion_percentage,games_started,int_percentage,avg_yds_per_att,avg_value,comebacks,gwds,sacked,wins,tds,yds_per_att,yds,qbr,yds_per_game,att,perc_times_sk,c_cmpp,c_avg_cmpp,c_ya,c_aya,c_rate,c_pct,c_avg_att,c_att,c_numyrs,c_td,c_avg_tds,c_inter,c_avg_inter,c_yds,c_avg_yds,draft_Year,draft_No,draft_Round,draft_Pick,draft_Player,draft_Team,draft_College
David Carr,HOU,2002,23,75,215,62.8,233,11.1,NA,15,4.19,16,81,3.24,2,52.5,16,3.4,4.7,5,2,3,NA,4,9,5.8,2592,NA,162,444,14.6,529,132.25,8.2,8.6,150.6,62.7,211,844,4,61,15.25,20,5,6918,1729.5,2002,1,1,1,1,Texans,Fresno State
David Klingler,CIN,1993,24,75,210,66.6,190,10.2,202,9,4.52,14,51,3.78,1.7,55.4,13,2.6,4.8,5,1,1,40,3,6,5.6,1935,NA,138.2,343,10.4,726,181.5,7.5,7.6,138.2,57.6,315.25,1261,4,91,22.75,38,9.5,9430,2357.5,1992,1,1,6,6,Bengals,Houston
David Woodley,MIA,1980,22,74,210,63.1,176,10.5,127,17,5.01,13,61,3.6,4.3,53.8,11,5.2,4.2,5,1,2,17,6,14,5.7,1850,NA,142.3,327,4.9,146,48.67,6.8,5.1,103,47.4,102.67,308,3,8,2.67,15,5,2081,693.67,1980,12,8,21,214,Dolphins,Louisiana State
Derek Anderson,CLE,2007,24,78,229,82.5,298,NA,109,19,6.8,16,78,6.29,5.5,56.5,15,3.6,6.7,14,2,2,14,10,29,7.2,3787,NA,236.7,527,2.6,768,192,7.4,6.8,122.7,50.7,378.75,1515,4,79,19.75,57,14.25,11249,2812.25,2005,11,6,39,213,Ravens,Oregon State
Dick Shiner,PIT,1968,26,72,201,64.5,148,12.5,NA,17,NA,13,61,NA,5.9,48.7,11,5.6,4.8,7,NA,NA,NA,2,18,6.1,1856,NA,142.8,304,NA,287,95.67,6.4,4.2,106.9,53.5,178.67,536,3,21,7,35,11.67,3410,1136.67,1964,8,7,3,87,Redskins,Maryland
Don Majkowski,GNB,1988,24,74,197,67.8,178,11.9,176,11,5.29,13,56,4.44,2.7,53,9,3.3,5.4,6,NA,NA,31,3,9,6.3,2119,NA,163,336,8.4,294,73.5,6.7,5.2,108.3,49.3,149,596,4,23,5.75,31,7.75,4019,1004.75,1987,13,10,4,255,Packers,Virginia
Don Meredith,DAL,1962,24,75,210,84.2,105,16,NA,8,NA,13,69,NA,7.1,49.5,9,3.8,7.6,9,NA,NA,NA,3,15,7.9,1679,NA,129.2,212,NA,241,80.33,7.9,6.6,136.8,61,131.67,395,3,25,8.33,23,7.67,3130,1043.33,1960,5,3,8,32,Bears,Southern Methodist
Don Strock,MIA,1978,28,77,220,83.1,72,11.5,73,6,5.22,16,57,5.01,8.9,53.3,7,4.4,5.9,4,NA,NA,9,5,12,6.1,825,NA,51.6,135,6.3,440,146.67,7.2,5.4,114.2,53.1,276.33,829,3,29,9.67,47,15.67,6009,2003,1973,9,5,7,111,Dolphins,Virginia Tech
Donovan McNabb,PHI,2000,24,74,240,77.8,330,10.2,262,13,5.05,16,70,4.79,3.7,58,16,2.3,5.6,16,2,3,45,11,21,5.9,3365,NA,210.3,569,7.3,562,140.5,8.9,9.2,153.5,58.1,242,968,4,78,19.5,27,6.75,8581,2145.25,1999,2,1,2,2,Eagles,Syracuse
Doug Flutie,NWE,1988,26,70,180,63.3,92,12.5,65,10,5.71,11,80,4.18,4.5,51.4,9,5.6,4.8,3,1,1,11,6,8,6.4,1150,NA,104.5,179,5.8,690,172.5,8.2,7.4,130.9,52.8,327,1308,4,70,17.5,56,14,10759,2689.75,1985,10,11,5,285,Rams,Boston College
